gefunden_am,portal,suchbegriff,titel,preis,ort,inserat_datum,baujahr,betriebsstunden,url
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Horizon Star Ii,53.500 € Netto,49716 Meppen,,2022,,https://de.tec24.com/c-20200/m-geringhoff/t-horizon-star-ii/mid-3702454.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Ms Horizon 800fb,32.500 € Netto,48683 Ahaus-Wüllen,,2014,,https://de.tec24.com/c-20200/m-geringhoff/t-ms-horizon-800fb/mid-3699446.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rotadisc 1275 B,24.900 € Netto,17094 Pragsdorf,,2013,,https://de.tec24.com/c-20200/m-geringhoff/t-rotadisc-1275-b/mid-3706579.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rota-Disc,24.900 € Netto,39240 Calbe / Saale,,2013,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc/mid-3703139.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Rota Disc Rd800fb,23.500 € Netto,17094 Pragsdorf,,2008,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc-rd800fb/mid-3701082.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Zwischenförderaggregat,19.900 € Netto,48480 Spelle,,2024,,https://de.tec24.com/c-28800/m-geringhoff/t-zwischenfoerderaggregat/mid-3706118.html
2026-08-22T09:34:50Z,tec24,Geringhoff,Geringhoff Maisstar Horizont Ii,18.000 € Netto,84329 Wurmannsquick,,2010,,https://de.tec24.com/c-20200/m-geringhoff/t-maisstar-horizont-ii/mid-3494294.html
2026-08-22T09:34:50Z,tec24,Geringhoff,"Geringhoff Rota-Disc 800fb, Passend Zum Claas Lexion,",15.800 € Netto,48268 Greven,,2003,,https://de.tec24.com/c-20200/m-geringhoff/t-rota-disc-800fb-passend-zum-claas-lexion-/mid-3696908.html
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 230,ITR Minibaggerkette 300x52.5Wx78 Takeuchi TB230,578 €,25767 Albersdorf,20.08.2026,,,https://www.kleinanzeigen.de/s-anzeige/itr-minibaggerkette-300x52-5wx78-takeuchi-tb230/3095598637-276-18557
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 230,"Takeuchi TB 235 V3 Power-Tilt HS03 Kabine wie TB 230, 240",35.402 €,77790 Steinach Baden,06.08.2026,2016,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-235-v3-power-tilt-hs03-kabine-wie-tb-230-240/3477627971-276-8048
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 230,Takeuchi TB 230 V3 3 t Minibagger inkl. Powertilt - 29.900€ netto,35.581 €,92224 Amberg,01.08.2026,2021,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-230-v3-3-t-minibagger-inkl-powertilt-29-900-netto/3448874600-276-5790
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Takeuchi TB 250,12.345 € VB,87534 Oberstaufen,"Gestern, 22:14",1981,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-250/3491013291-276-8600
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Bagger Takeuchi TB250-2 Powertilt HS03 Taklock Netto €54.900,65.331 € VB,88353 Kißlegg,"Gestern, 11:07",2023,,https://www.kleinanzeigen.de/s-anzeige/bagger-takeuchi-tb250-2-powertilt-hs03-taklock-netto-54-900/3441519903-276-8086
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Minibagger Takeuchi TB250,27.251 €,91610 Insingen,20.08.2026,2008,,https://www.kleinanzeigen.de/s-anzeige/minibagger-takeuchi-tb250/3477722229-276-9147
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Takeuchi TB 250-2  u. 260 u. 235,67.711 €,36199 Rotenburg,14.08.2026,2023,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-250-2-u-260-u-235/3484096438-276-4643
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Takeuchi TB250-2V3Powertilt  opt. Rotor als Sandwich,71.281 €,85748 Garching b München,12.08.2026,2024,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb250-2v3powertilt-opt-rotor-als-sandwich/3482667096-276-6306
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,"Takeuchi TB 250-2 V3 Taklock - Powertilt HS03 Netto € 59.500,00 + MwSt.",70.805 € VB,85748 Garching b München,12.08.2026,2024,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-250-2-v3-taklock-powertilt-hs03-netto-59-500-00-mwst-/3453188439-276-6306
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Takeuchi TB 250 ** 2x Löffel **,34.272 € VB,64658 Fürth,10.08.2026,2019,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-250-2x-loeffel-/3432550250-276-6809
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,TAKEUCHI TB250-2 MINIBAGGER,43.435 € VB,91589 Aurach,09.08.2026,,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb250-2-minibagger/3455199076-276-6107
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,Takeuchi TB 250-2 V4,79.750 € VB,49377 Vechta,06.08.2026,2023,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-250-2-v4/3028215622-276-2573
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 250,SUCHE Takeuchi TB 250 V3 / V4 (Powertilt/Oilquick/Ms03/Martin),40.000 €,88094 Oberteuringen,06.08.2026,2023,,https://www.kleinanzeigen.de/s-anzeige/suche-takeuchi-tb-250-v3-v4-powertilt-oilquick-ms03-martin-/3477499210-276-9217
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,Takeuchi TB 260,36.000 € VB,83395 Freilassing,"Heute, 09:30",2015,4600 h,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-260/3491148360-276-6273
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,Neumaschine Takeuchi Tb 260 V 3 ohne Löffelpaket zu Verkaufen,80.850 € VB,57537 Wissen,20.08.2026,2023,,https://www.kleinanzeigen.de/s-anzeige/neumaschine-takeuchi-tb-260-v-3-ohne-loeffelpaket-zu-verkaufen/3415502000-276-1503
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,Takeuchi TB 260DBF Vorführer,101.745 € VB,55411 Bingen,17.08.2026,2017,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-260dbf-vorfuehrer/3487471486-276-5119
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,"Takeuchi TB 260 DPF V3 6,0t Minibagger Powertilt Taklock",86.751 €,92224 Amberg,08.08.2026,2025,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-260-dpf-v3-6-0t-minibagger-powertilt-taklock/3349254589-276-5790
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,Türscheibe Takeuchi  TB 260 Bagger Scheibe Minibagger,80 €,82272 Moorenweis,07.08.2026,,,https://www.kleinanzeigen.de/s-anzeige/tuerscheibe-takeuchi-tb-260-bagger-scheibe-minibagger/3478410404-276-6314
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,Takeuchi 6t TB 260 Kompaktbagger Minibagger ink Löffel,80.920 €,57076 Siegen,05.08.2026,2023,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-6t-tb-260-kompaktbagger-minibagger-ink-loeffel/3452474335-276-1029
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,"Minibagger Takeuchi TB 260 - Powertilt, MS03, Radio, Knickmatik",47.231 €,58099 Hagen,05.08.2026,2014,,https://www.kleinanzeigen.de/s-anzeige/minibagger-takeuchi-tb-260-powertilt-ms03-radio-knickmatik/3000982667-276-2013
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,"Takeuchi TB260, bj.2019",35.998 €,13053 Hohenschönhausen,04.08.2026,2019,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb260-bj-2019/3476364738-276-3357
2026-08-22T09:39:39Z,eBay Kleinanzeigen,Takeuchi TB 260,"Takeuchi TB 260 Powertilt NETTO 34580,-",41.500 € VB,94110 Wegscheid,26.07.2026,,,https://www.kleinanzeigen.de/s-anzeige/takeuchi-tb-260-powertilt-netto-34580-/3469282945-276-7467
